2021-02-01 10:58:44 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2021-02-01 10:58:44 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2021-02-01 10:58:44 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2021-02-01 10:58:44 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-02-01 10:58:44 status half-configured perl-base:amd64 5.30.0-9build1
2021-02-01 10:58:44 status unpacked perl-base:amd64 5.30.0-9build1
2021-02-01 10:58:44 status half-installed perl-base:amd64 5.30.0-9build1
2021-02-01 10:58:44 status unpacked perl-base:amd64 5.30.0-9build1
2021-02-01 10:58:44 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2021-02-01 10:58:44 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2021-02-01 10:58:44 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2021-02-01 10:58:44 install sed:amd64 <none> 4.7-1
2021-02-01 10:58:44 status half-installed sed:amd64 4.7-1
2021-02-01 10:58:44 status unpacked sed:amd64 4.7-1
2021-02-01 10:58:44 install sensible-utils:all <none> 0.0.12+nmu1
2021-02-01 10:58:44 status half-installed sensible-utils:all 0.0.12+nmu1
2021-02-01 10:58:44 status unpacked sensible-utils:all 0.0.12+nmu1
2021-02-01 10:58:44 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2021-02-01 10:58:44 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-02-01 10:58:44 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-02-01 10:58:44 install tar:amd64 <none> 1.30+dfsg-7
2021-02-01 10:58:44 status half-installed tar:amd64 1.30+dfsg-7
2021-02-01 10:58:44 status unpacked tar:amd64 1.30+dfsg-7
2021-02-01 10:58:44 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2021-02-01 10:58:44 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:44 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2021-02-01 10:58:44 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-02-01 10:58:44 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-02-01 10:58:44 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-02-01 10:58:45 startup packages configure
2021-02-01 10:58:45 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-02-01 10:58:45 status unpacked lsb-base:all 11.1.0ubuntu2
2021-02-01 10:58:45 status half-configured lsb-base:all 11.1.0ubuntu2
2021-02-01 10:58:45 status installed lsb-base:all 11.1.0ubuntu2
2021-02-01 10:58:45 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-02-01 10:58:45 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-02-01 10:58:45 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-02-01 10:58:45 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-02-01 10:58:45 configure libsemanage-common:all 3.0-1build2 <none>
2021-02-01 10:58:45 status unpacked libsemanage-common:all 3.0-1build2
2021-02-01 10:58:45 status half-configured libsemanage-common:all 3.0-1build2
2021-02-01 10:58:45 status installed libsemanage-common:all 3.0-1build2
2021-02-01 10:58:45 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2021-02-01 10:58:45 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-02-01 10:58:45 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
